Class,WorkOrderType,Param_Temperature,Param_Time,Param_Quality,Param_Boil-time,Param_Amount,Param_StirTume,Param_Pressure,Param_Humidity,Param_PercentContamination,Param_OriginalGravity,Param_FinalGravity,Param_AlcoholbyVol,Param_PrimaryFerment,Param_SecondaryFerment,Material_Pale-2-row,Matarial_Black-Patent-Malt,Matarial_Chocolate_Malt,Matarial_Roasted_Barley,Material_Carapils,Material_Rolled-oats,Material_Torrified-Wheat,Material_Northern_Brewer_Hops,Material_Fuggle,Material_Irish_Moss,Material_Yeast Irish Ale yeast starter,Material_Grapes,Material_Barley,Material_Wheat,Material_magnesium stearate,Material_yellow color 5,Material_Essence 5,Material_Vanilla extract,Material_Blackberry extract,Material_Molasses,Material_Beer,Material_sugar,Material_Milk,Material_Yoghurt
1,3,7,77,56,34,13,8,36,97,10,97,31,70,77,56,43,,39,22,77,84,29,39,11,42,23,99,,53,,64,,65,82,,79,,60,
0,2,65,32,30,54,95,73,10,83,33,61,16,93,1,58,4,15,58,74,81,48,84,10,65,28,6,54,,55,24,29,99,73,84,36,32,38,100,
0,1,50,44,35,44,40,8,82,62,,97,,10,26,16,89,,40,70,57,20,77,71,40,66,,5,,38,,23,,86,21,,13,,75,
1,4,13,17,32,19,21,57,77,13,31,26,39,77,45,85,77,,88,90,78,11,74,88,,25,14,3,11,6,,41,,39,54,52,33,,85,
0,1,,88,74,94,,33,76,81,,70,,52,,,31,,58,,71,22,18,70,1,1,,29,,56,,78,54,69,48,95,84,,34,
1,2,70,56,91,80,89,83,87,35,5,29,76,59,42,47,20,,72,65,77,72,9,80,72,56,82,86,,90,,77,,6,6,,80,,96,
0,3,43,91,,30,75,88,,70,39,59,48,58,45,54,29,16,5,29,49,,83,65,100,17,88,65,56,47,,66,,60,52,79,79,,36,
1,3,90,58,92,81,97,4,6,19,,3,,6,100,35,69,,60,,58,95,1,8,31,7,69,74,46,23,,10,77,61,99,16,58,,86,
0,1,7,59,5,52,30,22,21,95,34,51,50,25,11,73,18,,5,,37,10,69,15,96,48,2,64,,66,,14,65,7,59,59,16,,1,
0,2,34,78,,27,53,53,,91,,59,,74,3,36,94,,93,95,45,,14,48,54,40,94,43,,99,,62,2,48,15,,26,,98,64
1,4,,48,24,99,,75,61,50,85,24,3,15,,,47,,22,,6,61,95,73,13,59,,96,,20,,93,,62,44,6,49,,64,
1,1,,41,72,95,,38,10,28,74,38,48,39,,,30,,41,,73,83,35,46,61,78,54,44,,18,,10,,78,21,86,41,,18,
1,3,56,11,39,59,23,88,89,89,75,33,6,52,95,57,88,,4,,91,14,4,82,41,25,86,95,,22,,50,27,31,35,69,43,,85,
1,3,65,16,78,91,95,43,57,28,29,54,65,45,30,82,86,19,75,,76,70,13,83,25,24,85,44,84,86,,58,,93,36,8,100,,74,
1,1,,74,75,59,,77,59,59,18,98,77,69,,,7,31,85,,58,13,93,31,15,23,99,52,68,84,22,92,,31,81,13,39,99,53,
0,3,,99,76,16,,65,93,53,,81,,57,,,76,,76,,92,40,98,21,,93,44,53,29,52,,75,,66,8,92,58,,40,
0,2,,9,17,45,,58,94,76,41,75,38,54,,,69,,58,11,4,63,61,25,82,64,,43,,74,,7,,60,68,34,100,,18,
1,4,62,82,,43,45,66,,28,86,90,27,36,25,82,10,,25,54,71,,88,95,,10,54,45,,6,85,48,,18,63,,71,74,99,
0,3,40,83,2,47,15,30,23,29,,28,,56,30,89,4,,64,28,91,76,76,92,,21,88,75,53,75,,96,,44,46,,2,,50,
1,4,95,82,,93,19,31,,20,25,97,77,69,54,56,96,,62,,46,,50,25,100,76,,60,,4,,85,4,24,44,99,80,,32,
1,3,24,62,84,53,35,18,50,46,,43,,61,23,33,4,,33,74,10,56,84,7,,26,9,62,61,41,77,94,,28,53,,56,80,18,
1,1,10,,,89,24,44,,87,,48,,26,30,4,6,,91,,57,,36,58,,78,94,35,28,73,,12,,73,54,,61,,43,
1,4,59,49,,77,75,72,,31,90,100,71,6,69,84,69,,36,,79,,95,96,1,86,,20,63,71,,90,,89,84,1,23,,36,
1,2,96,53,61,2,12,15,65,37,73,23,27,65,29,38,1,45,50,100,85,34,88,4,33,49,100,72,22,54,,64,52,53,90,,1,,66,
1,4,76,15,75,81,75,55,20,9,42,42,46,87,68,92,10,60,44,87,57,12,28,34,52,45,5,76,73,53,,19,,44,88,,89,,48,
1,1,24,13,13,48,68,37,92,73,,85,,47,59,5,24,,44,17,65,74,93,79,,74,5,61,6,49,,78,64,85,78,24,50,,91,
1,2,94,72,23,24,89,98,91,80,68,75,89,14,92,51,51,,78,,13,58,2,4,15,16,,50,48,93,,34,,81,20,82,3,,100,
0,4,17,5,45,90,55,98,98,65,16,39,48,13,91,10,27,9,81,,46,10,25,79,2,67,92,65,7,77,4,82,,93,2,,36,8,33,
1,4,100,63,88,85,60,43,44,54,14,95,72,86,80,33,45,,68,,30,18,61,51,90,64,57,50,78,51,,90,47,74,29,63,81,,72,
1,2,24,39,77,54,37,54,11,10,91,80,9,66,44,69,5,,31,,93,77,70,12,43,78,,28,99,39,,28,37,82,38,52,19,,70,
1,2,95,55,93,94,90,12,7,14,44,41,70,52,6,11,84,,67,,13,73,26,47,36,13,,15,59,92,45,29,,83,21,86,3,29,57,
1,2,4,67,91,47,77,67,19,32,75,25,14,92,33,11,4,,71,,46,85,18,1,25,78,90,58,50,30,,8,,10,33,,84,,16,
1,2,54,25,75,37,85,42,3,68,62,16,50,58,96,95,11,,10,99,38,67,80,40,63,1,,77,68,60,,70,,54,43,52,55,,31,
0,1,11,19,27,53,84,34,3,76,40,36,31,70,75,41,2,43,90,41,66,39,62,13,97,19,,66,54,80,,67,,95,47,86,55,,93,
