Class,WorkOrderType,Param_Temperature,Param_Time,Param_Quality,Param_Boil-time,Param_Amount,Param_StirTume,Param_Pressure,Param_Humidity,Param_PercentContamination,Param_OriginalGravity,Param_FinalGravity,Param_AlcoholbyVol,Param_PrimaryFerment,Param_SecondaryFerment,Material_Pale-2-row,Matarial_Black-Patent-Malt,Matarial_Chocolate_Malt,Matarial_Roasted_Barley,Material_Carapils,Material_Rolled-oats,Material_Torrified-Wheat,Material_Northern_Brewer_Hops,Material_Fuggle,Material_Irish_Moss,Material_Yeast Irish Ale yeast starter,Material_Grapes,Material_Barley,Material_Wheat,Material_magnesium stearate,Material_yellow color 5,Material_Essence 5,Material_Vanilla extract,Material_Blackberry extract,Material_Molasses,Material_Beer,Material_sugar,Material_Milk,Material_Yoghurt
1,2,20,95,66,7,13,98,75,26,91,86,1,3,46,48,52,19,89,8,27,20,29,76,33,5,24,15,46,3,31,90,31,36,22,67,32,85,90,8
1,1,27,4,25,10,60,96,76,4,37,68,55,76,67,92,43,48,62,44,10,93,59,29,53,22,55,85,14,11,34,67,35,53,77,55,93,51,6,82
0,2,52,13,29,77,61,11,98,83,21,100,1,32,70,41,43,1,21,79,10,33,68,34,91,29,34,63,10,52,20,11,77,34,56,55,68,99,55,29
0,3,64,94,94,11,3,49,97,89,59,31,92,60,63,1,29,40,4,16,8,42,53,29,7,15,97,89,43,10,36,28,1,21,30,2,24,98,62,35
0,3,33,59,10,71,28,67,98,77,30,18,76,24,69,31,9,24,13,92,64,42,46,54,35,61,28,13,57,24,64,68,82,84,85,43,4,45,75,92
1,3,19,74,47,10,74,2,33,46,66,67,7,58,50,53,96,68,83,49,58,78,47,73,30,8,51,38,23,66,42,78,62,74,79,66,21,43,35,33
0,4,53,100,40,21,64,32,73,88,34,27,12,90,80,53,64,82,95,85,58,16,11,53,23,71,47,9,51,67,70,78,58,20,49,98,29,50,89,54
1,1,51,89,54,35,83,24,8,99,86,97,41,62,27,49,98,67,45,10,4,53,16,53,49,100,20,85,15,14,85,86,44,47,93,62,35,27,52,79
0,3,87,60,70,94,52,29,68,56,20,39,14,88,29,72,62,23,44,79,84,45,66,93,59,22,32,88,2,70,48,57,13,81,73,49,100,7,78,56
1,1,31,37,44,18,30,49,89,69,50,65,1,8,78,64,9,36,95,59,29,32,58,37,96,9,30,61,12,27,87,79,57,33,100,100,77,5,91,93
0,4,33,40,23,100,36,21,80,91,95,34,25,72,5,16,49,89,74,30,7,56,94,89,3,65,62,48,91,5,20,1,69,43,89,76,89,42,69,53
0,2,71,52,68,96,91,18,78,19,20,95,97,33,67,6,63,31,14,57,48,71,49,99,26,24,20,80,28,41,10,77,71,75,74,69,47,33,82,84
1,4,63,91,8,55,50,24,4,17,2,17,30,97,83,33,36,25,36,2,65,60,54,9,11,62,94,40,81,10,78,22,32,33,71,72,22,16,16,79
0,3,55,72,16,55,26,70,26,84,53,49,2,16,26,67,25,1,18,55,52,77,61,100,70,51,82,9,41,48,96,7,7,59,12,32,31,20,90,61
1,4,75,87,95,62,32,13,57,46,1,52,55,68,33,96,65,87,25,78,35,81,9,33,12,37,92,41,97,18,73,30,4,99,42,3,11,15,34,51
0,1,40,37,89,47,15,30,9,33,5,58,6,38,42,94,2,3,87,58,97,68,18,94,21,76,72,3,90,96,31,75,4,53,52,35,77,25,8,16
0,2,2,84,88,75,50,19,92,74,49,89,30,76,54,31,13,91,80,31,65,98,54,29,4,29,4,5,46,46,10,38,31,96,81,41,41,59,35,91
0,4,43,15,22,21,20,49,94,69,61,71,18,7,88,38,90,98,69,56,100,66,83,32,65,83,91,98,18,26,21,95,87,28,99,25,74,11,42,93
1,2,42,95,35,99,69,63,46,67,6,93,27,78,3,93,43,32,6,32,23,32,83,70,41,35,81,5,16,24,60,43,59,34,93,43,55,34,38,45
1,2,64,77,13,58,9,60,89,43,89,55,77,47,68,1,30,18,19,16,27,2,92,9,63,90,21,82,86,79,23,44,51,89,50,20,36,54,80,23
1,3,94,76,84,67,85,71,64,11,34,63,53,85,69,42,20,58,47,78,36,99,25,78,48,41,34,67,89,99,85,68,51,31,75,19,41,79,74,60
1,1,19,45,73,23,84,46,71,69,49,88,51,49,82,87,14,58,18,50,18,9,60,75,95,15,65,36,79,54,97,86,82,63,19,13,26,51,89,67
0,2,28,60,56,95,42,78,39,56,66,43,77,89,98,39,21,66,11,35,28,79,6,3,61,36,98,19,7,47,24,63,79,15,14,30,43,36,41,69
1,4,99,61,77,71,5,66,1,88,87,49,94,59,77,28,65,4,8,100,23,76,4,49,38,82,79,22,40,2,71,11,88,58,33,30,95,41,24,95
1,2,64,72,42,48,90,45,10,25,38,89,14,73,33,41,14,16,40,95,29,58,22,4,30,90,4,27,19,90,56,22,15,56,12,42,14,86,61,71
0,4,67,3,25,35,44,79,18,60,22,100,71,47,38,5,77,23,24,87,21,71,43,48,82,66,94,13,86,92,49,80,17,3,26,30,57,61,15,86
0,4,6,77,30,28,84,50,74,97,65,70,90,38,82,79,37,50,27,56,12,9,25,7,86,44,91,8,42,83,59,52,44,87,37,34,20,97,65,70
